Id,titolo,descrizione,img,categoria,tag,territorio,URL,link-search,fontedati,collaborazione,data,mese,anno
16,23 Borghi più belli della Sicilia - 2023,"Autonomie locali premiati i ventitrè Borghi più belli della Sicilia. La Regione attribuisce per il 2023 un bonus economico pari a 750 mila euro ai Comuni della Sicilia che hanno ricevuto il riconoscimento di ""Borgo più bello d’Italia"" o di ""Borgo dei Borghi"".",legend/clip_index/borghi_2023.jpg,"Cultura,Turismo,Geografia","Borghi,Turismo,Sicilia",Sicilia,borghi_2023.html,https://palermohub.opendatasicilia.it/borghi_2023.html,Regione Sicilia,@gbvitrano,18-06-2023,2023-June,2023
17,Palermo 2023 - Geolocalizzazione degli Immobili da Alienare e da Valorizzare.,Piano delle alienazioni e valorizzazione ex art. 58 d. l. n. 112/2008 convertito con modificazioni in l. 133/2008 successivamente integrato dall’art. 33 comma 6 del d. l. 98/2011 nella l. 111/2011 a sua volta modificato dall’art. 27 della l. 214/2011 - da allegare al bilancio di previsione 2023 - 2025 – delibera di giunta comunale n. 100 del 6/4/2023 - presa d’atto. (Rialaborazione @opendatasicilia),legend/clip_index/beni_alienati_pa_2023.jpg,"Urbanistica,Economia,Proprietà Immobiliare","Alienazione,Valorizzazione,Immobili",Palermo,beni_alienati_pa_2023.html,https://palermohub.opendatasicilia.it/beni_alienati_pa_2023.html,Comune di Palermo,@gbvitrano,03-06-2023,2023-June,2023
18,Palermo Catasto incendi 2022,Aggiornamento del catasto dei soprassuoli percorsi dal fuoco. Incendi Anno 2022,legend/clip_index/catasto_incendi_pa_2022.jpg,"Ambiente,Sicurezza,Territorio","Catasto Incendi,Incendi,Palermo",Palermo,catasto_incendi_pa_2022.html,https://palermohub.opendatasicilia.it/catasto_incendi_pa_2022.html,"Comune di Palermo,Regione Sicilia",@gbvitrano,31-05-2023,2023-May,2023
19,Italia - Approdi e Spiagge Blu 2023,La Bandiera Blu è un riconoscimento internazionale istituito nel 1987 Anno europeo dell’Ambiente che viene assegnato ogni anno in 49 paesi inizialmente solo europei più recentemente anche extra-europei. Bandiera Blu è un eco-label volontario assegnato alle località turistiche balneari che rispettano criteri relativi alla gestione sostenibile del territorio.,legend/clip_index/divieti_balneazione_palermo.jpg,"Ambiente,Turismo,Geografia","Bandiera Blu,Spiagge,Italia",Italia,divieti_balneazione_palermo.html,https://palermohub.opendatasicilia.it/divieti_balneazione_palermo.html,FEE Italia,@gbvitrano,13-05-2023,2023-May,2023
20,Acque di Balneazione e Divieti - Palermo stagione balneare 2023,Localizzazione delle aree di balneazione e divieti a Palermo per la stagione 2023 dal 01/05/2023 al 31/10/2023,legend/clip_index/bandiere_blu_2023.jpg,"Ambiente,Salute,Territorio","Balneazione,Divieti,Palermo",Palermo,bandiere_blu_2023.html,https://palermohub.opendatasicilia.it/bandiere_blu_2023.html,"Regione Sicilia,Ministero della Salute",@gbvitrano,02-05-2023,2023-May,2023
21,Acque di Balneazione - Sicilia stagione balneare 2023,Localizzazione delle aree di balneazione in Sicilia per la stagione 2023 dal 01/05/2023 al 31/10/2023,legend/clip_index/acque_di_balneazione_2023_1.jpg,"Ambiente,Salute,Geografia","Balneazione,Sicilia,Spiagge",Sicilia,acque_balneazione_2023.html,https://palermohub.opendatasicilia.it/acque_balneazione_2023.html,"Regione Sicilia,Ministero della Salute ","@gbvitrano,@totofiandaca",30-04-2023,2023-April,2023
22,Palermo - Nuove zone blu,Palermo - Nuove zone di tariffazione della sosta a pagamento dal 01 Feb 2023,legend/clip_index/zone_blu.jpg,"Mobilità,Territorio,Economia","Zone Blu,Sosta,Palermo",Palermo,nuove_zone_blu.html,https://palermohub.opendatasicilia.it/nuove_zone_blu.html,Comune di Palermo,"@gbvitrano,Emilio Di Gristina",02-02-2023,2023-February,2023
23,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco 2021,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco - Incendi anno 2021,legend/clip_index/pa_catasto_fuoco_21.jpg,"Ambiente,Sicurezza,Territorio","Catasto Incendi,Incendi,Palermo",Palermo,pa_terre_bruciate_21.html,https://palermohub.opendatasicilia.it/pa_terre_bruciate_21.html,Comune di Palermo,@gbvitrano,19-09-2022,2022-September,2022
24,Italia - Alberi Monumentali 2022,La scoperta di un dataset interessante indispensabile per fare conoscere un patrimonio di grande valore probabilmente poco noto.,legend/clip_index/alberi_monumentali_2022.jpg,"Ambiente,Natura,Cultura","Alberi,Monumenti,Italia",Italia,alberi_monumentali_2022.html,https://palermohub.opendatasicilia.it/alberi_monumentali_2022.html,MASAF,@gbvitrano,29-07-2022,2022-July,2022
25,Sicilia - spiagge accessibili 2022,Strutture balneari che tra percorsi dedicati e servizi necessari per le persone con disabilità motoria (anche temporanea) costituiscono in Sicilia una costellazione di spiagge accessibili in cui il mare è accessibile: da Palermo ad Agrigento da Trapani a Catania Siracusa e Pantelleria il mare di Sicilia è un'esperienza godibile da tutti. (cit),legend/clip_index/Spiagge-per-tutti-accessibili-2022.jpg,"Ambiente,Turismo,Accessibilità","Spiagge Accessibili,Disabilità,Sicilia",Sicilia,sicilia_spiagge_accessibili_2022.html,https://palermohub.opendatasicilia.it/sicilia_spiagge_accessibili_2022.html,Sicilia Turismo per Tutti,@gbvitrano,07-07-2022,2022-July,2022
26,Palermo - popolazione residente per cittadinanza UPL Quartiere e Circoscrizione - 2020 Mappa a densità di punti,Gli stranieri residenti a Palermo nel 2020 sono 25.400 e rappresentano 130 Nazionalità provenienti da 5 Continenti oggi sono il 389% della popolazione totale (653.570) e lo 0.7% del totale nazionale dato che colloca Palermo in decima posizione tra le 14 Città metropolitane per numero di residenti stranieri regolari.,legend/clip_index/stranieri_residenti_subregions_dot_2020_01.jpg,"Demografia,Sociologia,Territorio","Popolazione Straniera,Cittadinanza,Palermo",Palermo,stranieri_residenti_subregions_dot_2020.html,https://palermohub.opendatasicilia.it/stranieri_residenti_subregions_dot_2020.html,Comune di Palermo,@gbvitrano,17-02-2022,2022-February,2022
27,Misilmeri - Carta Tecnica Regionale (CTR) 1:10000 e 1:2000,Carta Tecnica Regionale in scala 1:10.000 edizione 2012-2013 della regione siciliana. Shapefile generati a partire dai file ASCII RSI e RSE. Sistema di coordinate ETRS89 Fuso 33 Nord (EPSG: 25833),legend/clip_index/ctr10k_misilmeri.jpg,"Cartografia,Geografia,Territorio","Carta Tecnica,Misilmeri,CTR",Misilmeri,index_ctr10k_misilmeri.html,https://palermohub.opendatasicilia.it/index_ctr10k_misilmeri.html,Regione Sicilia,@gbvitrano,29-10-2021,2021-October,2021
28,Misilmeri - Piano regolatore generale - Vigente al 2021,Misilmeri - Piano regolatore generale - Vigente al 2021,legend/clip_index/prg_misilmeri_01.jpg,"Urbanistica,Pianificazione,Territorio","Piano Regolatore,Misilmeri,Normativa",Misilmeri,index_prg_misilmeri.html#15/38.0307/13.4446,https://palermohub.opendatasicilia.it/index_prg_misilmeri.html#15/38.0307/13.4446,Comune di Misilmeri,@gbvitrano,27-10-2021,2021-October,2021
29,Misilmeri - Patrimonio immobiliare 2021,Elenco Patrimonio immobiliare anni 2019/2020- Fino a maggio 2021,legend/clip_index/misilmeri.jpg,"Urbanistica,Economia,Proprietà Immobiliare","Patrimonio Immobiliare,Misilmeri,Immobili Comunali",Misilmeri,misilmeri_patr_immob.html,https://palermohub.opendatasicilia.it/misilmeri_patr_immob.html,Comune di Misilmeri,@gbvitrano,25-10-2021,2021-October,2021
30,Comuni Italiani - 2021,Mappa dei comuni Italiani è possibile filtrare i Comuni in base a diversi parametri. - Regione - Provincia - Sigla Provincia - Comune - Codice Istat -C.a.p. - Codice Fiscale,legend/clip_index/comuni_italiani.jpg,"Cartografia,Amministrazione,Geografia","Comuni,Italia,Open Data",Italia,comuni_italiani.html,https://palermohub.opendatasicilia.it/comuni_italiani.html,"ISTAT,indicepa.gov.it,araldicacivica.it,Wikipedia Italia","@gbvitrano,@DennisAngemi,@gaba1123",29-09-2021,2021-September,2021
31,InformaCOVID - Mappa dei comuni che hanno aderito,InformaCOVID. è rivolto principalmente ai sindaci delle città italiane ma non solo. Associazioni scuole testate giornalistiche praticamente chiunque sia in possesso di dati COVID19 provenienti da fonti ufficiali ed autorevoli può utilizzare la piattaforma per dare comunicazione alla cittadinanza. A seguire l'elenco completo dei comuni che hanno aderito a InformaCOVID.,legend/clip_index/informacovid.jpg,"Emergenze,Salute,Dati","Covid-19,Comuni,InformaCOVID",Italia,informacovid.html,https://palermohub.opendatasicilia.it/informacovid.html,Comuni Siciliani,"@gbvitrano,@DennisAngemi,@gaba1123",23-09-2021,2021-September,2021
32,Sicilia - ADESIONI CAMPAGNA VACCINALE - Strutture e Farmacie - 2021,Strutture sanitarie autorizzate ad eseguire il tampone rapido anti-Covid valido ai fini dell’emissione del certificato a prezzi calmierati. Agg. 30 settembre 2021 e Farmacie in provincia di Palermo dove poter fasre il vaccino Coronavirus ecco dove poter ricevere la dose Pfizer: l'elenco delle farmacie è stato aggiornato e diffuso dall'Asp,legend/clip_index/farm_vaccino_01.jpg,"Emergenze,Salute,Geografia","Vaccino,Farmacie,Sicilia",Sicilia,farmacie_vacc_anticovid.html,https://palermohub.opendatasicilia.it/farmacie_vacc_anticovid.html,Ministero della Salute,"@gbvitrano,@totofiandaca",27-08-2021,2021-August,2021
33,AMAP - AVVISO AGLI UTENTI DELLA CITTÀ DI PALERMO SERVITI DAL SERBATOIO MONTE GRIFONE,In riferimento alla nota n.001-11759 del 05/08/2021 si ribadisce che: “fermo restando l’uso non potabile dell’acqua la stessa non è da ritenersi idonea per l’incorporazione negli alimenti quando l’acqua ne rappresenti l’ingrediente principale (minestre bevande) soprattutto di quelli destinati a neonati o lattanti mentre ne è consentito l’utilizzo per il lavaggio di verdura ortaggi e frutta per l’igiene personale e della casa”.,legend/clip_index/seb_monte_grifone.jpg,"Ambiente,Salute,Comunicazione","AMAP,Monte Grifone,Avviso",Palermo,seb_amap.html,https://palermohub.opendatasicilia.it/seb_amap.html,AMAP S.p.A.,@gbvitrano,08-08-2021,2021-August,2021
34,Sicilia - Valutazioni Ambientali - Mappa progetti,Sicilia - Valutazioni Ambientali - Mappa progetti,legend/clip_index/valutazioni_ambientali.jpg,"Ambiente,Pianificazione,Urbanistica","VAS,VINCA,Progetti",Sicilia,valutazioni_ambientali.html,https://palermohub.opendatasicilia.it/valutazioni_ambientali.html,Regione Sicilia,@gbvitrano,07-08-2021,2021-August,2021
35,DPC-Aggregati-Strutturali-ITG - Palermo,La Presidenza del Consiglio dei Ministri – Dipartimento della Protezione Civile ha pubblicato su Github il dataset nazionale degli aggregati strutturali una raccolta dati sugli aggregati edilizi del nostro Paese.,legend/clip_index/aggregati_strutturali_pa.jpg,"Urbanistica,Sicurezza,Dati","Aggregati Strutturali,DPC,Palermo",Palermo,aggregati_strutturali_pa.html,https://palermohub.opendatasicilia.it/aggregati_strutturali_pa.html,Dipartimento della Protezione Civile,"@totofiandaca,@gbvitrano",13-05-2021,2021-May,2021
36,Sicilia - Approdi e Spiagge Blu 2021,La Sicilia conquista dieci bandiere blu distribuite tra le province di Messina Agrigento e Ragusa. Le Bandiere Blu vanno ai Comuni di Alì Terme Roccalumera Santa Teresa di Riva Lipari Tusa Menfi Modica Ispica Pozzallo Ragusa.,legend/clip_index/bandiereblu.jpg,"Ambiente,Turismo,Geografia","Bandiera Blu,Spiagge,Sicilia",Sicilia,bandiereblu.html,https://palermohub.opendatasicilia.it/bandiereblu.html,FEE Italia,@gbvitrano,11-05-2021,2021-May,2021
37,Covid-19 - 2021 - Centri vaccinali in Sicilia,Mappa ed lelenco dei centri vccinali covid-19 in sicilia,legend/clip_index/sicilia_centri_vaccinali.jpg,"Salute,Emergenze,Geografia","Centri Vaccinali,Covid-19,Sicilia",Sicilia,https://bl.ocks.org/gbvitrano/raw/c95bf7141e51d2029addfe0b92ae12b0/,https://bl.ocks.org/gbvitrano/raw/c95bf7141e51d2029addfe0b92ae12b0/,OpenDataSicilia,"@aborruso,@totofiandaca,@gbvitrano",16-04-2021,2021-April,2021
38,COVID-19 - 2021 - Comuni siciliani attualmente in zona rossa,La Regione Siciliana pubblica le ordinanze per le zone rosse solo tramite PDF (spesso sono fotocopie) e sono raccolte nel sito ufficiale nella sezione SERVIZI INFORMATIVI | ORDINANZE COVID-19. Per ovviare a questi brutti PDF Totò Fiandaca ha creato un foglio elettronico dove ha scritto dopo aver aperto uno ad uno tutte le ordinanze del 2021 i comuni in zona rossa e relativo intervallo temporale compreso anche di eventuale proroga e link al PDF.,legend/clip_index/zonarossa_11042021.jpg,"Emergenze,Salute,Dati","Zona Rossa,Covid-19,Sicilia",Sicilia,https://bl.ocks.org/gbvitrano/raw/664ac98fd51590d48290b70709a4ea48/,https://bl.ocks.org/gbvitrano/raw/664ac98fd51590d48290b70709a4ea48/,OpenDataSicilia,"@aborruso,@totofiandaca,@DennisAngemi,@gbvitrano",06-04-2021,2021-April,2021
39,COVID-19 - 2021 - Incidenza cumulativa settimanale dei contagi,Incidenza cumulativa settimanale dei contagi Ricoverati e posti letto in terapia intensiva,legend/clip_index/social_card_ondata.jpg,"Salute,Emergenze,Dati","Covid-19,Incidenza,Italia",Italia,https://bl.ocks.org/gbvitrano/raw/9e2d5b6721cd757a290d73f6ba7bc6d6/,https://bl.ocks.org/gbvitrano/raw/9e2d5b6721cd757a290d73f6ba7bc6d6/,onData,@aborruso,05-03-2021,2021-March,2021
40,Geolocalizzazione degli esercizi convenzionati buono pasto cartaceo ed eletronico - Impresa SODEXO - 2021,Sicilia - Convenzione Buoni Pasto 8 Lotto 12 - Impresa SODEXO - 2021,legend/clip_index/buoni_pasto.jpg,"Economia,Servizi,Geografia","Buoni Pasto,SODEXO,Sicilia",Sicilia,buoni_pasto.html,https://palermohub.opendatasicilia.it/buoni_pasto.html,Comune di Palermo,@gbvitrano,16-02-2021,2021-February,2021
41,Italia - Mappa news Incendi registrati nel 2021,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2021,legend/clip_index/news_incendi_2018.jpg,"Ambiente,Sicurezza,Dati","Incendi,News,Italia",Italia,news_incendi_2021.html,https://palermohub.opendatasicilia.it/news_incendi_2021.html,EFFIS,@gbvitrano,01-01-2021,2021-January,2021
42,Mappa terremoti in Italia nel 2021 (earthquakes today),Mappa terremoti in Italia nel 2021 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,legend/clip_index/terremoti_2019.jpg,"Sicurezza,Geografia,Dati","Terremoti,Italia,Sismicità",Italia,terremoti_2021.html,https://palermohub.opendatasicilia.it/terremoti_2021.html,INGV,"@aborruso,@gbvitrano",01-01-2021,2021-January,2021
43,Cambia-menti 1962,Cambia-menti…#Palermo…Variante Generale PRG 2004 vs PRG 1962,legend/clip_index/cambia-menti2.jpg,"Urbanistica,Storia,Pianificazione","Variante Generale,PRG,Palermo",Palermo,cambia-menti2.html,https://palermohub.opendatasicilia.it/cambia-menti2.html,Comune di Palermo,@gbvitrano,27-12-2020,2020-December,2020
44,PRG aggiornato con i provvedimenti del d.p.r.s. n 110/a del 28/06/1962 e con le successive varianti fino a giugno 1984,Le tavole sono in formato JPG quale frutto di scansione delle tavole cartacee.,legend/clip_index/qu_prg_62.jpg,"Urbanistica,Storia,Documentazione","PRG,Storia,Cartografia",Palermo,qu_prg_62.html,https://palermohub.opendatasicilia.it/qu_prg_62.html,Comune di Palermo,@gbvitrano,25-12-2020,2020-December,2020
45,Oli vegetali usati punti di raccolta in Sicilia,La mappa dei punti di raccolta è disponibile all'indirizzo https://ecologicaitaliana.com/mappa-raccolte-oli.html ed ulteriori informazioni sono disponibili al numero verde gratuito 800-987719,legend/clip_index/oli_vegetali.jpg,"Ambiente,Rifiuti,Geografia","Oli Vegetali,Riciclo,Sicilia",Sicilia,oli_vegetali.html,https://palermohub.opendatasicilia.it/oli_vegetali.html,ecologicaitaliana.com,"@aborruso,@cirospat,@gbvitrano",04-03-2020,2020-March,2020
46,Italia - Mappa news Incendi registrati nel 2020,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2020,legend/clip_index/news_incendi_2020.jpg,"Ambiente,Sicurezza,Dati","Incendi,News,Italia",Italia,news_incendi_2020.html,https://palermohub.opendatasicilia.it/news_incendi_2020.html,EFFIS,@gbvitrano,01-01-2020,2020-January,2020
47,Mappa terremoti in Italia nel 2020 (earthquakes today),Mappa terremoti in Italia nel 2020 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,legend/clip_index/terremoti_2018.jpg,"Sicurezza,Geografia,Dati","Terremoti,Italia,Sismicità",Italia,terremoti_2020.html,https://palermohub.opendatasicilia.it/terremoti_2020.html,INGV,"@aborruso,@gbvitrano",01-01-2020,2020-January,2020
48,Ufficio Anagrafe e Postazioni decentrate dove vegono rilasciate le carte d'identità elettroniche - CIE,Palermo Ufficio Anagrafe Postazioni decentrate e sede di Circoscrizione. Carta di identità elettronica. Dal primo ottobre Il costo di rilascio sarà di 22.20 euro di cui 16.8 andranno al Ministero dell’Interno mentre per ottenere il duplicato in caso di danneggiamento furto o smarrimento il costo sarà di 27.35 euro....,legend/clip_index/cie.jpg,"Servizi Pubblici,Amministrazione,Territorio","CIE,Anagrafe,Palermo",Palermo,cie.html,https://palermohub.opendatasicilia.it/cie.html,Comune di Palermo,@gbvitrano,21-09-2019,2019-September,2019
49,Fontanelle a Palermo un progetto per scoprire quelle di acqua potabile - Rielaborazione dati OpenDataSicilia.it e Associazione onData.it,Adesso lo sai Se usi una fontanella ti prendi cura del mondo Non fare piangere una fontanella USALA!,legend/clip_index/social_card_07.jpg,"Ambiente,Salute,Territorio","Fontanelle,Acqua Pubblica,Palermo",Palermo,https://fontanelle.ondata.it/mappa/,https://fontanelle.ondata.it/mappa/,"AMAP S.p.A.,Comune di Palermo","@aborruso,@Emiliodigri,@totofiandaca,@cirospat,@gpirrotta,@gbvitrano",26-08-2019,2019-August,2019
50,Fontanelle acqua potabile Comune di Palermo - 2019,Palermo mappa delle fontane e fontanelle pubbliche di aqcua potabile più vicono casa. Si potrà fare approvvigionamento di acqua potabile e frenare il consumo di plastica. Un piccolo gesto per la difesa dell'ambiente. #PalermoPlasticFree,legend/clip_index/fontanelle1_pa.jpg,"Ambiente,Salute,Territorio","Fontanelle,Acqua Pubblica,Palermo",Palermo,fontanelle_pa.html,https://palermohub.opendatasicilia.it/fontanelle_pa.html,AMAP S.p.A.,@gbvitrano,25-08-2019,2019-August,2019
51,Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish,Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish la piattaforma più potente per la visualizzazione e la narrazione dei dati,legend/clip_index/sinistri_2018_flourish.jpg,"Mobilità,Sicurezza,Dati","Flourish,Incidenti,Sinistri",Palermo,sinistri_2018_flourish.html,https://palermohub.opendatasicilia.it/sinistri_2018_flourish.html,Comune di Palermo,"@aborruso,@gbvitrano",22-07-2019,2019-July,2019
52,Sicilia - spiagge accessibili 2019,Strutture balneari che tra percorsi dedicati e servizi necessari per le persone con disabilità motoria (anche temporanea) costituiscono in Sicilia una costellazione di spiagge accessibili in cui il mare è accessibile: da Palermo ad Agrigento da Trapani a Catania Siracusa e Pantelleria il mare di Sicilia è un'esperienza godibile da tutti. (cit),legend/clip_index/sicilia_spiagge_accessibili_02.jpg,"Ambiente,Turismo,Accessibilità","Spiagge Accessibili,Disabilità,Sicilia",Sicilia,sicilia_spiagge_accessibili.html,https://palermohub.opendatasicilia.it/sicilia_spiagge_accessibili.html,Sicilia Turismo per Tutti,@gbvitrano,22-06-2019,2019-June,2019
53,Palermo - popolazione residente per cittadinanza UPL Quartiere e Circoscrizione - 2018 Mappa a densità di punti,Gli stranieri residenti a Palermo nel 2018 sono 25.735 e rappresentano 130 Nazionalità oggi sono il 383% della popolazione totale (670.954). Chi sono questi stranieri? Da dove vengono? Quanti sono? Dove vivono? Qual'è il rapporto stranieri/italiani nel territorio? ...I cittadini Bangladesi Singalesi Ghanesi e Romeni da soli costituiscono più della metà (5741%) di tutti gli stranieri residenti a Palermo.,legend/clip_index/stranieri_residenti_subregions_dot.jpg,"Demografia,Sociologia,Territorio","Popolazione Straniera,Cittadinanza,Palermo",Palermo,stranieri_residenti_subregions_dot.html,https://palermohub.opendatasicilia.it/stranieri_residenti_subregions_dot.html,Comune di Palermo,"@aborruso,@totofiandaca,@gbvitrano",08-06-2019,2019-June,2019
